"Annee","jour","mois","Arneguy","Banca","Iraty","Sare","Urrugne","TotalJ"
1999,7,10,5648,1355,1025,1822,42,9892
1999,8,10,7011,3991,1410,2838,19,15269
1999,9,10,10346,3448,10883,2594,104,27375
1999,10,10,6274,3105,4712,4381,722,19194
1999,11,10,14140,8847,6647,7400,257,37291
1999,12,10,8837,3972,3226,0,25,16060
1999,13,10,7601,7113,0,1638,1504,17856
1999,14,10,1155,390,4200,318,106,6169
1999,15,10,2119,154,16476,563,84,19396
1999,16,10,36833,17201,8569,16062,29532,108197
1999,17,10,430,0,569,569,87,1655
1999,18,10,192,0,0,0,5,197
1999,19,10,359,60,260,0,6,685
1999,20,10,42,0,0,14,1321,1377
1999,21,10,395,48,355,228,260,1286
1999,22,10,1130,1324,143,180,2435,5212
1999,23,10,235,214,175,276,2809,3709
1999,24,10,336,83,2065,4190,527,7201
1999,25,10,1447,7735,1402,6809,36205,53598
1999,26,10,839100,402251,9983,167920,113467,1532721
1999,27,10,15980,42882,4713,104566,206865,375006
1999,28,10,26161,5836,2910,3422,8949,47278
1999,29,10,1416,93,89,156,850,2604
1999,30,10,1363,7,82,44,921,2417
1999,31,10,4155,1173,1509,533,572,7942
1999,1,11,1218,306,77,16,1890,3507
1999,2,11,831,0,342,1,6,1180
1999,3,11,2510,350,1014,16408,15162,35444
1999,4,11,114172,58307,1245,69575,115495,358794
1999,5,11,1210,339,54,5,1500,3108
1999,6,11,0,0,0,0,0,0
1999,7,11,0,0,0,885,0,885
1999,8,11,32266,11992,0,14015,6844,65117
1999,9,11,0,0,0,4,0,4
1999,10,11,0,0,0,0,0,0
2000,9,10,0,0,0,0,768,768
2000,10,10,0,0,0,0,0,0
2000,11,10,0,0,0,0,0,0
2000,12,10,30,128,0,84,621,863
2000,13,10,0,0,10,1,1,12
2000,14,10,1721,19,0,1202,1477,4419
2000,15,10,26,60,0,32,3,121
2000,16,10,0,0,0,0,0,0
2000,17,10,1,70,3141,1263,147,4622
2000,18,10,12645,35000,3872,38614,30809,120940
2000,19,10,204486,30826,25795,10617,2696,274420
2000,20,10,10,392,112,2,38125,38641
2000,21,10,0,0,0,0,10,10
2000,22,10,3513,2520,1290,13572,200,21095
2000,23,10,42545,240839,2852,156470,53242,495948
2000,24,10,120,8,44,88,0,260
2000,25,10,89590,99201,4788,256,0,193835
2000,26,10,9,217,0,310,70,606
2000,27,10,16794,7081,18871,38538,7365,88649
2000,28,10,15736,26678,603,3341,246366,292724
2000,29,10,1048,320,0,107,0,1475
2000,30,10,1315,344,0,3,1944,3606
2000,31,10,9,0,0,0,0,9
2000,1,11,86,20,0,6,6,118
2000,2,11,0,0,0,7,2,9
2000,3,11,1457,21,0,1,0,1479
2000,4,11,0,0,0,2,0,2
2000,5,11,585,5809,0,38,5900,12332
2000,6,11,16,5,0,3,0,24
2000,7,11,0,0,0,0,0,0
2000,8,11,0,0,0,0,0,0
2000,9,11,0,0,0,0,0,0
2001,9,10,225,98,78,178,44,623
2001,10,10,5113,830,2210,2135,18,10306
2001,11,10,15446,13505,12805,15299,10321,67376
2001,12,10,12279,7467,14600,971,292,35609
2001,13,10,397,181,994,262,105,1939
2001,14,10,5829,2445,4830,1136,429,14669
2001,15,10,6785,1380,2565,115,46,10891
2001,16,10,150879,22668,12683,32353,4859,223442
2001,17,10,1688,6931,605,173,8113,17510
2001,18,10,2971,3091,1024,2161,303,9550
2001,19,10,1500,3994,250,344,2084,8172
2001,20,10,1349,7200,370,363,4086,13368
2001,21,10,2520,361,489,71,16,3457
2001,22,10,23621,79350,2200,1487,85129,191787
2001,23,10,4900,1838,184,1159,0,8081
2001,24,10,58299,38553,796,82480,12059,192187
